Crime Date,Crime,COMMITTED,DISTRICT,,,,,,,,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,4,,,Crime,(All),,,,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,4,,,,,,,,,,,,,,,,,
11/24/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,2,,,Row Labels,Count of Crime,,,,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,1,,,2-Sep,123,,,,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,4,,,8-Sep,138,,,130.2333333,,,,,,,,,,
11/24/2018,OTHER,COMMITTED,1,,,15-Sep,112,,,112.0322581,,,,,,,,,,
11/24/2018,INDIVIDUAL ROBBERY,COMMITTED,2,,,22-Sep,185,,,116.2666667,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,4,,,29-Sep,135,,,,,,,,,,,,,
11/24/2018,NUISANCE,COMMITTED,4,,,6-Oct,81,,,,,,,,,,,,,
11/24/2018,ASSAULT,COMMITTED,,,,13-Oct,108,,,,,,,,,,,,,
11/24/2018,ASSAULT,COMMITTED,,,,20-Oct,127,,,,,,,,,,,,,
11/24/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,,,,3-Nov,130,,,,,,,,,,,,,
11/24/2018,OTHER,COMMITTED,1,,,10-Nov,104,,,,,,,,,,,,,
11/24/2018,BATTERY,COMMITTED,,,,17-Nov,147,,,,,,,,,,,,,
11/24/2018,NARCOTICS,COMMITTED,2,,,24-Nov,96,,,,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,1,,,Grand Total,1486,,,,,,,,,,,,,
11/24/2018,VEHICLE BURGLARY,COMMITTED,2,,,,,,,,,,,,,,,,,
11/24/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,1,,,,,,,,,,,,,,,,,
11/24/2018,THEFT,COMMITTED,4,,,Count of Crime,Column Labels,,,,,,,,,,,,,
11/24/2018,ASSAULT,COMMITTED,1,,,,Sep,Oct,Nov,Grand Total,,,,,,,,,,
11/24/2018,INDIVIDUAL ROBBERY,COMMITTED,3,,,Row Labels,,,,,,,,,,,,,,% of observations above average
11/24/2018,VEHICLE BURGLARY,COMMITTED,1,,,ASSAULT,41,12,38,91,,0.216931217,those 4 days contribute to 22% of all of septembers assaults,,,,,,,66.67%
11/24/2018,THEFT,COMMITTED,2,,,BATTERY,63,36,49,148,,16%,13% of the months account for 16% of assaults,,,,,,,33.33%
11/24/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,4,,,BUSINESS ROBBERY,1,1,,2,,,,,,,,,,0.00%
11/24/2018,THEFT,COMMITTED,3,,,CRIMINAL DAMAGE TO PROPERTY,60,25,44,129,,,,,,,,,,33.00%
11/24/2018,THEFT,COMMITTED,1,,,FIREARM,27,12,24,63,,,,,,,,,,41.67%
11/24/2018,FIREARM,COMMITTED,3,,,HOMICIDE,9,3,2,14,,,,,,,,,,25.00%
11/24/2018,OTHER,COMMITTED,2,,,INDIVIDUAL ROBBERY,7,2,7,16,,,,,,,,,,8.30%
11/24/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,2,,,JUVENILE,7,,5,12,,,,,,,,,,16.67%
11/24/2018,CRIMINAL DAMAGE TO PROPERTY,COMMITTED,3,,,NARCOTICS,17,20,24,61,,,,,,,,,,8.33%
11/24/2018,THEFT,COMMITTED,,,,NON-RESIDENTIAL BURGLARY,24,14,25,63,,,,,,,,,,33.33%
11/24/2018,OTHER,COMMITTED,1,,,NUISANCE,11,7,11,29,,,,,,,,,,25.00%
